# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.add.entity.ms,1739437952134000000,1739438012146000000,22
workspaceModel.mutableEntityStorage.entities.by.source.ms,1739437952134000000,1739438012146000000,2
jps.save.changed.project.entities.ms,1739437952134000000,1739438012146000000,0
workspaceModel.do.save.caches.ms,1739437952134000000,1739438012146000000,151
jps.reload.project.entities.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1739437952134000000,1739438012146000000,3
jps.facet.change.listener.process.change.events.ms,1739437952134000000,1739438012146000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1739437952134000000,1739438012146000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1739437952134000000,1739438012146000000,0
jps.storage.jps.conf.reader.load.component.ms,1739437952134000000,1739438012146000000,37
jps.global.handle.before.change.events.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1739437952134000000,1739438012146000000,11
workspaceModel.orphan.listener.update.ms,1739437952134000000,1739438012146000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1739437952134000000,1739438012146000000,0
workspaceModel.global.updates.count,1739437952134000000,1739438012146000000,1
jps.library.entities.serializer.save.entities.ms,1739437952134000000,1739438012146000000,0
jps.facet.change.listener.init.bridge.ms,1739437952134000000,1739438012146000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1739437952134000000,1739438012146000000,0
workspaceModel.mutableEntityStorage.entities.ms,1739437952134000000,1739438012146000000,0
jps.artifact.entities.serializer.save.entities.ms,1739437952134000000,1739438012146000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1739437952134000000,1739438012146000000,263
